year,month,day,rainfall
2018,4,23,0
2018,4,24,3.5
2018,4,25,0
2018,4,26,0
2018,4,27,0
2018,4,28,1
2018,4,29,0
2018,4,30,0
2018,5,1,0
2018,5,2,0
2018,5,3,7.5
2018,5,4,14.5
2018,5,5,0
2018,5,6,8
2018,5,7,10.5
2018,5,8,24.5
2018,5,9,9.5
2018,5,10,32.5
2018,5,11,2.5
2018,5,12,0
2018,5,13,0
2018,5,14,0
2018,5,15,0
2018,5,16,0
2018,5,17,0
2018,5,18,0
2018,5,19,0
2018,5,20,0
2018,5,21,0
2018,5,22,0
2018,5,23,0
2018,5,24,0
2018,5,25,0
2018,5,26,5
2018,5,27,0
2018,5,28,0
2018,5,29,0
2018,5,30,0
2018,5,31,0
2018,6,1,0
2018,6,2,0
2018,6,3,0
2018,6,4,6.5
2018,6,5,29
2018,6,6,47.5
2018,6,7,82.5
2018,6,8,132.5
2018,6,9,8
2018,6,10,0
2018,6,11,0
2018,6,12,50
2018,6,13,99.5
2018,6,14,0
2018,6,15,0
2018,6,16,0
2018,6,17,0
2018,6,18,0
2018,6,19,2.5
2018,6,20,0.5
2018,6,21,9
2018,6,22,19
2018,6,23,28.5
2018,6,24,5.5
2018,6,25,8.5
2018,6,26,7.5
2018,6,27,0
2018,6,28,0
2018,6,29,0
2018,6,30,0
2018,7,1,1
2018,7,2,3.5
2018,7,3,13
2018,7,4,0.5
2018,7,5,3
2018,7,6,2
2018,7,7,1.5
2018,7,8,12
2018,7,9,3
2018,7,10,4.5
2018,7,11,0
2018,7,12,1
2018,7,13,44.5
2018,7,14,62
2018,7,15,61.5
2018,7,16,8
2018,7,17,2.5
2018,7,18,24.5
2018,7,19,5.5
2018,7,20,7.5
2018,7,21,0
2018,7,22,0
2018,7,23,13.5
2018,7,24,2
2018,7,25,16.5
2018,7,26,0
2018,7,27,3.5
2018,7,28,0
2018,7,29,0
2018,7,30,0
2018,7,31,0
2018,8,1,4
2018,8,2,9.5
2018,8,3,2
2018,8,4,2
2018,8,5,0
2018,8,6,0
2018,8,7,0
2018,8,8,2
2018,8,9,0
2018,8,10,72
2018,8,11,46.5
2018,8,12,27
2018,8,13,2
2018,8,14,31
2018,8,15,6.5
2018,8,16,14
2018,8,17,52.5
2018,8,18,31.5
2018,8,19,18
2018,8,20,25
2018,8,21,0
2018,8,22,33
2018,8,23,19.5
2018,8,24,0
2018,8,25,0
2018,8,26,55
2018,8,27,18
2018,8,28,67
2018,8,29,32.5
2018,8,30,5
2018,8,31,3.5
2018,9,1,58.5
2018,9,2,8
2018,9,3,2
2018,9,4,0
2018,9,5,13
2018,9,6,0
2018,9,7,1
2018,9,8,0.5
2018,9,9,28
2018,9,10,0.5
2018,9,11,0
2018,9,12,0
2018,9,13,1
2018,9,14,0
2018,9,15,0
2018,9,16,137
2018,9,17,2.5
2018,9,18,1
2018,9,19,0
2018,9,20,0
2018,9,21,0
2018,9,22,0
2018,9,23,1
2018,9,24,23.5
2018,9,25,15
2018,9,26,17.5
2018,9,27,0
2018,9,28,0
2018,9,29,0
2018,9,30,0
2018,10,1,3
2018,10,2,0
2018,10,3,0
2018,10,4,0
2018,10,5,0
2018,10,6,0
2018,10,7,0
2018,10,8,0
2018,10,9,3.5
2018,10,10,17.5
2018,10,11,0
2018,10,12,3
2018,10,13,1
2018,10,14,1
2018,10,15,6
2018,10,16,8.5
2018,10,17,3
2018,10,18,10.5
2018,10,19,0
2018,10,20,0
2018,10,21,0
2018,10,22,0
2018,10,23,0.5
2018,10,24,1
2018,10,25,0
2018,10,26,0
2018,10,27,0
2018,10,28,0
2018,10,29,0
2018,10,30,0
2018,10,31,0
2018,11,1,0
2018,11,2,3.5
2018,11,3,3.5
2018,11,4,0
2018,11,5,0
2018,11,6,0
2018,11,7,0
2018,11,8,0
2018,11,9,0
2018,11,10,0
2018,11,11,0
2018,11,12,0
2018,11,13,0
2018,11,14,0
2018,11,15,0
2018,11,16,0
2018,11,17,0.5
2018,11,18,0
2018,11,19,0
2018,11,20,0
2018,11,21,4.5
2018,11,22,0
2018,11,23,0
2018,11,24,0
2018,11,25,20.5
2018,11,26,14
2018,11,27,21.5
2018,11,28,8
2018,11,29,0
2018,11,30,0
2018,12,1,0
2018,12,2,0
2018,12,3,0
2018,12,4,0
2018,12,5,0
2018,12,6,1
2018,12,7,4
2018,12,8,0
2018,12,9,0
2018,12,10,0
2018,12,11,0
2018,12,12,0
2018,12,13,0
2018,12,14,0
2018,12,15,0
2018,12,16,0
2018,12,17,0
2018,12,18,0
2018,12,19,0
2018,12,20,0
2018,12,21,0
2018,12,22,0
2018,12,23,21.5
2018,12,24,0
2018,12,25,0
2018,12,26,0
2018,12,27,0
2018,12,28,0
2018,12,29,0
2018,12,30,0
2018,12,31,0
