date,year,month,day,start,start_hour,end,end_hour,duration_mins,type,,
13.06.2018,2018,6,13,18:31,18,18:42,18,11,TKO_Road_BrokenCar,,
20.06.2018,2018,6,20,15:15,15,15:30,15,15,TKO_Road_BrokenCar,,
22.06.2018,2018,6,22,10:48,10,11:34,11,46,TKO_Road_BrokenCar,,
25.06.2018,2018,6,25,08:50,8,10:07,10,77,TKO_Road_Accident,,
26.06.2018,2018,6,26,19:25,19,19:35,19,10,TKO_Road_BrokenCar,,
29.06.2018,2018,6,29,17:50,17,18:04,18,14,TKO_Road_Accident,,
03.07.2018,2018,7,3,09:43,9,10:40,10,57,TKO_Road_BrokenCar,,
06.07.2018,2018,7,6,14:30,14,15:31,15,1,TKO_Road_Accident,,
07.07.2018,2018,7,7,09:25,9,10:00,10,35,TKO_Road_BrokenCar,,
24.07.2018,2018,7,24,10:45,10,11:09,11,24,TKO_Tunnel_BrokenCar,,
28.07.2018,2018,7,28,08:45,8,09:05,9,20,TKO_Road_Accident,,
30.07.2018,2018,7,30,11:55,11,12:28,12,33,TKO_Tunnel_BrokenCar,,
01.08.2018,2018,8,1,10:50,10,11:30,11,40,TKO_Tunnel_Accident,,
01.08.2018,2018,8,1,11:36,11,12:50,12,74,TKO_Tunnel_Accident,,
04.08.2018,2018,8,4,17:20,17,17:30,17,10,TKO_Road_BrokenCar,,
07.08.2018,2018,8,7,09:21,9,09:45,9,24,TKO_Tunnel_Accident,,
11.08.2018,2018,8,11,11:59,11,13:37,13,98,TKO_Road_Accident,,
12.08.2018,2018,8,12,12:01,12,13:09,13,68,TKO_Tunnel_Accident,,
13.08.2018,2018,8,13,22:13,22,23:09,23,56,TKO_Road_Accident,,
15.08.2018,2018,8,15,23:51,23,01:26,1,95,TKO_Tunnel_Accident,,
22.08.2018,2018,8,22,09:07,9,09:30,9,23,TKO_Road_Accident,,
25.08.2018,2018,8,25,14:39,14,15:03,15,24,TKO_Tunnel_Accident,,
28.08.2018,2018,8,28,08:30,8,09:31,9,61,TKO_Road_Accident,,
28.08.2018,2018,8,28,19:15,19,19:27,19,12,TKO_Road_Accident,,
31.08.2018,2018,8,31,09:38,9,10:00,10,22,TKO_Tunnel_Accident,,
31.08.2018,2018,8,31,19:05,19,19:10,19,5,TKO_Road_Accident,,
02.09.2018,2018,9,2,09:39,9,09:58,9,19,TKO_Tunnel_Accident,,
03.09.2018,2018,9,3,19:20,19,20:08,20,48,TKO_Road_Accident,,
04.09.2018,2018,9,4,07:05,7,07:40,7,35,TKO_Tunnel_Accident,,
05.09.2018,2018,9,5,18:55,18,20:25,20,90,TKO_Tunnel_Accident,,
15.09.2018,2018,9,15,13:02,13,14:00,14,58,TKO_Road_Accident,,
21.09.2018,2018,9,21,13:50,13,14:30,14,40,TKO_Road_Accident,,
21.09.2018,2018,9,21,18:20,18,18:53,18,33,TKO_Road_BrokenCar,,
23.09.2018,2018,9,23,22:35,22,23:26,23,51,TKO_Road_BrokenCar,,
26.09.2018,2018,9,26,07:31,7,10:05,10,154,TKO_Road_BrokenCar,,
27.09.2018,2018,9,27,19:00,19,19:30,19,30,TKO_Road_BrokenCar,,
30.09.2018,2018,9,30,10:10,10,10:34,10,24,TKO_Road_BrokenCar,,
02.10.2018,2018,10,2,10:10,10,11:00,11,50,TKO_Road_BrokenCar,,
09.10.2018,2018,10,9,18:42,18,19:35,19,53,TKO_Road_Accident,,
10.10.2018,2018,10,10,10:36,10,10:40,10,4,TKO_Tunnel_Accident,,
