date,year,month,day,start,start_hour,end,end_hour,duration_mins,type,,
15.08.2020,2020,8,15,17:51,17,18:34,18,43,TKO_Road_Accident,,
17.08.2020,2020,8,17,13:46,13,14:51,14,65,TKO_Tunnel_BrokenCar,,
27.08.2020,2020,8,27,12:40,12,13:20,13,40,TKO_Road_BrokenCar,,
27.08.2020,2020,8,27,18:32,18,19:30,19,58,TKO_Road_Accident,,
30.08.2020,2020,8,30,15:13,15,16:35,16,82,TKO_Road_Accident,,
02.09.2020,2020,9,2,19:26,19,20:00,20,34,TKO_Road_Accident,,
05.09.2020,2020,9,5,13:55,13,14:20,14,25,TKO_Road_Accident,,
05.09.2020,2020,9,5,21:05,21,22:00,22,55,TKO_Road_Accident,,
17.09.2020,2020,9,17,19:30,19,20:57,20,87,TKO_Road_Accident,,
19.09.2020,2020,9,19,09:28,9,09:55,9,27,TKO_Tunnel_Accident,,
23.09.2020,2020,9,23,10:53,10,11:14,11,21,TKO_Tunnel_Accident,,
28.09.2020,2020,9,28,09:50,9,10:18,10,28,TKO_Road_Accident,,
30.09.2020,2020,9,30,12:25,12,12:35,12,10,TKO_Road_BrokenCar,,
09.10.2020,2020,10,9,11:15,11,11:33,11,18,TKO_Road_Accident,,
09.10.2020,2020,10,9,16:02,16,16:37,16,35,TKO_Tunnel_Accident,,
09.10.2020,2020,10,9,16:43,16,17:03,17,20,TKO_Road_BrokenCar,,
14.10.2020,2020,10,14,08:20,8,08:59,8,39,TKO_Road_Accident,,
15.10.2020,2020,10,15,08:45,8,09:05,9,20,TKO_Road_BrokenCar,,
23.10.2020,2020,10,23,17:23,17,17:33,17,10,TKO_Road_Accident,,
24.10.2020,2020,10,24,13:45,13,14:05,14,20,TKO_Road_BrokenCar,,
28.10.2020,2020,10,28,09:53,9,10:09,10,16,TKO_Tunnel_Accident,,
28.10.2020,2020,10,28,15:58,15,16:39,16,41,TKO_Tunnel_Accident,,
02.11.2020,2020,11,2,14:09,14,15:30,15,81,TKO_Road_BrokenCar,,
